,review,label
0,"Si vous cherchez du cinéma abrutissant à tous les étages , n' ayant aucune peur du cliché en castagnettes et moralement douteux , "" From Paris with love "" est fait pour vous . Toutes les productions Besson , via sa filière EuropaCorp ont de quoi faire naître la moquerie . Paris y est encore une fois montrée comme une capitale exotique , mais attention si l' on se dirige vers la banlieue , on y trouve tout plein d' intégristes musulmans prêts à faire sauter le caisson d' une ambassadrice américaine . Nauséeux . Alors on se dit qu' on va au moins pouvoir apprécier la déconnade d' un classique buddy-movie avec le jeune agent aux dents longues obligé de faire équipe avec un vieux lou complètement timbré . Mais d' un côté , on a un Jonathan Rhys-meyers fayot au possible , et de l' autre un John Travolta en total délire narcissico-badass , crâne rasé et bouc proéminent à l' appui . Sinon , il n' y a aucun scénario . Seulement , des poursuites débiles sur l' autoroute , Travolta qui étale 10 mecs à l' arme blanche en 8 mouvements ( ! ! ) ou laisse son associé se faire démolir la tronche pendant qu' il scrute à la jumelle . Ca pourrait être un plaisir coupable , tellement c' est "" hénaurme "" , c' est juste de la daube dans la droite lignée d' un "" Transporteur "" , "" Taken "" ou "" Banlieue 13 "" .",0
1,"Trash , re-trash et re-re-trash ... ! Une horreur sans nom . Imaginez-vous les 20 premières minutes de Orange Mécanique dilatées sur plus de 70 minutes de bande VHS pourrave et revisitées par Korine à la sauce années 2000 : les dandys-punk de Kubrick ont laissé place à des papys lubriques déguisés en sacs-poubelles forniquant les troncs d' arbres , le dispositif esthétique se résume à du filmage-réalité enfilant des scènes de destruction , de soumission , de pornographie ou encore de maltraitance ( youtube , youtube et re-youtube ... ) et la bande-son se limite à des ricanements malades , des rengaines obsédantes et limitées , de la logorrhée sans queue ni tête surgissant par bribes poétiques ( hummm ... . ) et des explosions de pétard et de débris . Sur le plan émotionnel c' est une réussite complète puisque Korine parvient - avec une économie de moyens évidente dès les premières secondes - à flanquer un malaise d' une rare intensité en reprenant tout un pan des codes du porno-trash voire du snuff-movie . Mais c' est trop . Beaucoup trop . A tel point que cet objet bizarre à plus d' un niveau dérange ad nauseam et ne séduit jamais , même dans son incontestable maîtrise de la caméra et de son langage . Une sorte de Gummo sans l' inspiration ni l' ampleur . Quelque chose d' affreusement délétère se dégage de cette vidéo hallucinante et hallucinée , mise en images d' une bande d' idiots consanguins perdue dans un pitoyable autodafé white trash . Autant revoir le chef d' oeuvre de Lars Von Trier qui - au moins - avait quelque chose à transmettre ... Efficace mais profondément débile et perturbant .",0
2,"Et si , dans les 5 premières minutes du film , la pathétique maquette de train fendant la neige en gros plan laissait bien augurer du reste ? Si cet artifice trop visible illustrait toute la lourdeur des 100 et quelques minutes de bobine , tous ces atermoiements , tout ce sentimentalisme à deux balles … ? Et une fois ce « train » arrivé en gare , qui peut croire honnêtement au coup de foudre du Comte Vronsky pour Anna ? ! Or tout le film est axé sur ce moment … Seule le petit délire suicido-ferroviaire final d' Anna est à la hauteur . P … de train !",0
3,"Mon dieu ! Quelle métaphore filée ! Je suis abasourdi ! Mais réellement , ici on a une métaphore filée de l' acceptation que sa mère puisse à nouveau avoir une sexualité avec quelqu' un d' autre que son papounet chéri ! Freud est aux anges et moi aussi ! Sauf qu' en fait c' est nul ... Ce n' est pas un Disney Channel Original Movie très intéressant , faut dire qu' il est franchement vieux , il date de l' an 2000 , d' un autre millénaire ! Les gens qui ont fait ce film n' ont pas connu le 11 septembre ! Vous vous rendez compte ? Toute cette candeur était encore possible ! époque bénie des dieux ! Outre la blague , on retrouve déjà tous les poncifs du genre , la meilleure amie noire , l' ennemie qui devient l' amie ... la belle soeur qui au début énerve et puis finalement on s' y attache ... oh que c' est mignon ... ça me donne la nausée . Bref vous n' aurez compris rien que du très classique ici , mais ce qui m ' énerve c' est la tête des actrices , sérieusement , c' est physique , rien que voir leur tête me donne des envies de meurtre , que je tente de réprimer bien entendu ... mais le pire c' est le beau père ... une catastrophe ... c' est "" censé "" être le personnage "" comique "" , mais on est au niveau Kev Adams de l' humour ... Un sketch de Norman c' est drôle à côté ... Oui , parfaitement , j' ose aller jusque là ! Je n' ai peur de rien ! Du coup c' est plus une curiosité qu' autre chose ... je crois vraiment que l' âge d' or du DCOM ( vers la fin des années 2000 et début 2010 ) , ce qui les rend si frais et si beaux n' oeuvre pas encore ici . C' est juste long et chiant . Je note néanmoins quelques tentatives d' humour , genre le beau gosse qui dit qu' il aime faire de la planche à voile ( je traduis ) car il y a une planche et de la voile ... ce à quoi la fille répond les yeux amoureux "" je n' ai jamais vu ça sous cet angle "" . J' ai souri ... ( pas au premier degré bien sûr ) . Bon prochaine étape déterrer un DCOM des années 90 , je ne suis pas certain d' en avoir déjà vu !",0
4,"Premier film de la saga Kozure Okami , "" Le Sabre de la vengeance "" est un très bon film qui mêle drame et action , et qui , en 40 ans , n' a pas pris une ride .",1
5,"L' amnésie est un thème en or pour susciter le mystère . Encore faut-il être capable de construire un scénario qui se tienne . Celui-ci est boursouflé et accumule incohérences et invraisemblances . Notons aussi la stupidité du titre français , sans lien avec l' histoire .",0
6,"Tout commence comme une comédie légère avant un drame soudain qui fait basculer le film dans un ... suspense incroyable mâtiné d' une étude psychologique très fine des mécanismes qui régissent un couple , en particulier , et un groupe social , en général . A propos d' Elly est un film qui bat pavillon iranien -l ' analyse des comportements de la nouvelle bourgeoisie du pays est remarquable- mais son propos , la quête de sa propre identité , a une portée universelle , à la manière des oeuvres d' Antonioni . La différence , et elle est de taille , c' est le rythme , rapide et nerveux , que Asghar Farhadi imprime au scénario , à l' opposé de la quasi totalité des films iraniens vus jusqu' alors . Le montage , admirable , arrive à faire oublier qu' il s' agit d' un huis clos ( étouffant ) où les dialogues ( formidables ) font avancer l' action . Le tout dans une villa sise au bord d' une mer agitée , personnage central du film , la seule à connaître la réponse à l' énigme . Interprété de façon magistral ( mention spéciale aux actrices , sublimes ) , A propos d' Elly est un conte persan moderne auquel on ne voit qu' un seul défaut : ne durer que 116 minutes .",1
7,"un excellent film qui merite ses quatre étoiles . tellement bon que les ricains en font dejà une suite , qu' il s' empresseront de pourrir ...",1
8,"Deuxième long métrage de Pasolini , Mamma Roma contient déjà la plupart des obsessions de son auteur et notamment la relation si importante dans la construction de l' être humain entre la mère et son fils adolescent . Anna Magnani est déchirante en figure presque universelle de la maman putain représentative de la Ville éternelle . Le film avance à travers des foules de symboles et la fin où le jeune homme termine sa vie en crucifié martyr de la société est d' un implacable réalisme poétique qui annonce les avancées extrêmes ultérieures de Salo . La construction du récit est d' une puissance hors du commun et Pasolini se montre déjà un grand cinéaste qui a assimilé la technique et les possibilités de ce nouvel outil .",1
9,"Créateur de la célèbre série télévisée Kaamelott ( 2004 / 2009 ) , Alexandre Astier s' essaie avec plus ou moins de conviction à son premier long-métrage à travers lequel il dépeint une étrange relation entre un thérapeute et une riche patiente atteinte de troubles de la mémoire . Pour sa première incursion dans le cinéma ( derrière la caméra ) , il a vu les choses en grand , peut-être un peu trop ( en plus d' assurer la réalisation , il est aussi scénariste , compositeur et acteur principal ! ) . Résultat , son drame ne parvient pas à insuffler toute la dimension et l' émotion requise qu' il aurait dû nous transmettre . Si l' ambiance particulière qui unie les deux acteurs ( Isabelle Adjani & Alexandre Astier ) est palpable , on regrettera cependant les nombreuses touches d' humour qui n' avaient pas réellement leur place ici . Signalons tout de même une agréable mise en scène , de beaux plans ( pas mal de "" dutch angles "" ) , une séduisante B. O et des acteurs convaincants , même si l' on aurait aimé que le film puisse nous faire vibrer plus que cela .",0
10,"Grosse déception pour ce thriller noir qui malgré la réalisation tout feu tout flamme de Leclerq peine à convaincre . Il arrive surtout à convaincre que Raouf Dafri est un des scénariste les plus surcôté du moment car à aucun moment l' histoire n' arrive à convaincre : les personnages sont tous de vraies tête à claque dont la psychologie est trop sommairement dressée pour permettre de comprendre ou d' adhérer à leurs actions . Au bout de 45 min de réaction incompréhensible , on finit par ne plus du tout aimer les personnages et simplement se dire que ce qui leur arrive est amplement mérité et on se désintéresse du film . 10 € de perdu !",0
11,"Excellent Triller , même si un deuxième visionnage est préférable pour en savourer toute la quintessences .",1
12,"le scénario ? Une petite filouterie qui excuse toutes les folies au scénario mais va à l' encontre d' une cohérence scénaristique et dédramatise l' ensemble des "" éléments dramatiques "" du film . Ni allez pas par respect pour le cinéma , pour le cinéma français , pour Asterix et Obélix mission Cléopatre avec qui il est comparé . Un petit message pour Allociné , de nombreuses critiques de presse et internet existent pour ce film , merci de mettre à jour sa note qui est loin de la moyenne ! ! !",0
13,"Et un navet français de plus , un . Avec "" Truands "" , Frédéric Schoendoerffer s' attaque au milieu du grand banditisme parisien . Intention louable certes , mais le film en lui-meme est antipathique , et on éprouve fatalement un rejet . Pourquoi ? A cause de toute cette violence verbale et surtout physique , qui verse dans le sensationnel . Malgré le style caméra à l' épaule , rien ne fait réaliste dans ce faux gangster-movie . Je dirais meme qu' il représente tout ce qu' il faut éviter : stéréotypes , réalisation tape à l' oeil , dialogues arides , action pathétique , et j' en passe . On va arreter là , car tout est à jeter aux orties",0
14,"Moins pire que prévu et entrecoupé de questions parfois étonnamment pertinentes , « Appelez-moi Dave » aurait presque pu être une jolie surprise . Je dis bien « presque » car on reste malheureusement la plupart du temps dans la comédie américaine standard , lourdaude et terriblement bien-pensante , comme désormais toute comédie qui se respecte avec Eddie Murphy . On sait pourtant à quel point cet acteur peut être drôle ( et il l' est d' ailleurs parfois ici ) , mais échouant à tirer ces projets vers le haut tant il s' enlise systématiquement dans une consensualité gênante , une morale prévisible au possible et des personnages caricaturaux , sans parler de dialogues pas franchement élaborés . Reste donc toutefois le sentiment d' avoir vu quelques pistes intéressantes et plusieurs idées originales ( ce qui est toujours appréciable ) , sans oublier deux actrices particulièrement craquantes ( Elizabeth Banks et Gabrielle Union ) : très insuffisant toutefois pour compenser les immenses lacunes de cette comédie au potentiel pourtant bien réel . Dommage ...",0
15,Au départ ça part sur un film anti militariste assez efficace puis les personnages deviennent plus complexes et l' ensemble devient plus difficile à saisir . Un casting intéressant .,0
16,L' intéré de faire ce film était de . ... ... nous faire dépenser plus d' argent . Heureusement je l' ai vu en dvd . Et ... Rendez Nous le ZERO ! ! ! !,0
17,"Vraiment pas terrible à cause d' une animation simpliste et vieillissante , scénario sans ressorts et prévisible . Ultra conventionnel , pas grand-chose à en tirer . Décevant .",0
18,"Voilà un film qui s' en donne à coeur joie avec un casting efficace . Le scénario est très simpliste le tout repose sur l' originalité des personnages . Les gags sont sympa et change des gags habituels . Très bonne comédie qui me semble trop familiale , plus de cynisme et / ou de "" mauvais goût "" aurait été de bon ton .",1
19,Un excellent western . Jeff Bridges incarne un cow-boy hors-la-loi . John Hurt interprète le croque-mort . Ellen Barkin tient le rôle de Calamity Jane . Certaines scènes sont tournées en noir et blanc .,1
20,"Un film de Ferrara est obligatoirement un chef d' oeuvre . Ce réalisateur a vraiment un don . Au moins , il ose mettre des scènes chocs dans des films inoubliables . Walken est monstrueux , tout comme les seconds rôles .",1
21,"Un film assez lent et long , et l' on s' ennuie devant certains plans que l' on juge facilement inutiles . L' histoire , également , n' est pas forcément très captivante . Malgré tout , il y a des instants de poésie , la photographie des grands espaces américains est belle , et les acteurs sont convaincants .",0
22,"comédie horrifique complétement cinglé ou nanar ultra jouissif ... beaucoup aimeraient connaitre les ambitions de départ du bon vieux Olaf Ittenbach , ce qui est sur , c' est que le résultat de cette folie de cinéaste fauché fait bandé dure et que ça se regarde plusieurs fois dans une vie sans jamais baisser le niveau de poilade !",1
